ArticleId,slug,ArticleIndex,WebClipIndex,Name,title,author,date,Published,hero,status,Tags,secret,URL,Created,Updated,Attachments,Labels
ffa42356-f993-4a10-89cb-ea335a2640e3,ffa42356-f993-4a10-89cb-ea335a2640e3,1,1,1,Handling variable Dt for the game,Kailash Vetal,2016-11-12,"Nov 12, 2016",Booklet%205c493e354bdd4a7ab0abaeb978214561/alex-holyoake-Fkydl-OKd0c-unsplash.jpg,published,game development,false," http://gafferongames.com/game-physics/fix-your-timestep/ ","Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
f6031b1a-f2c9-47b5-8567-248bd6a1ff59,f6031b1a-f2c9-47b5-8567-248bd6a1ff59,2,2,2,"KISS, DRY, and Code Principles Every Developer Should Follow",Kailash Vetal,2019-12-29,"Dec 29, 2019",Booklet%205c493e354bdd4a7ab0abaeb978214561/1_itpAdE6O7ldkLqBqvW2ZTA.jpeg,published,software development,false,https://medium.com/better-programming/kiss-dry-and-code-principles-every-developer-should-follow-b77d89f51d74,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
ebfbc58d-562b-41b9-9ee7-86ca185efead,ebfbc58d-562b-41b9-9ee7-86ca185efead,3,3,3,DOOM (2016) - Graphics Study,Kailash Vetal,2016-10-10,"Oct 10, 2016",Booklet%205c493e354bdd4a7ab0abaeb978214561/doom_2016_logo.jpg,published,"game development, graphics programming, kv47.in",false,http://www.adriancourreges.com/blog/2016/09/09/doom-2016-graphics-study/,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
eb93c079-69d3-4afc-b4fa-ab0529f4591a,eb93c079-69d3-4afc-b4fa-ab0529f4591a,4,4,4,Good Developers vs Bad Developers,Kailash Vetal,2020-03-08,"Mar 8, 2020",Booklet%205c493e354bdd4a7ab0abaeb978214561/0_H918SbNILoTE9IlO.jpg,published,software development,false,https://medium.com/@CodementorIO/good-developers-vs-bad-developers-fe9d2d6b582b,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
e3f77aed-7f42-4a64-9894-8e1619a4fb67,e3f77aed-7f42-4a64-9894-8e1619a4fb67,5,5,5,"awesome-selfhosted: A list of Free Software network services and web applications which can be hosted locally. ",Kailash Vetal,2019-08-11,"Aug 11, 2019",https://images.squarespace-cdn.com/content/v1/506910b184ae5a723be4b21f/1573925737956-DQSF64PJB8HMF4G9QODU/ke17ZwdGBToddI8pDm48kMihdU5KGx3DkgYPKQ4aMw8UqsxRUqqbr1mOJYKfIPR7LoDQ9mXPOjoJoqy81S2I8N_N4V1vUb5AoIIIbLZhVYxCRW4BPu10St3TBAUQYVKch5REcN7JvqiccXzcaoKAyzJ-iOCnr2sCJG4JqmGY7jKoMMNJJ4Pp7ZuWCUShgF7o/awesome-Rect-1024x781.jpg,published,"git, software development, tools",false,https://github.com/awesome-selfhosted/awesome-selfhosted#social-networks-and-forums,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,"Blog, notion"
dc81ac91-ee34-4c87-973c-c91cea537f8e,dc81ac91-ee34-4c87-973c-c91cea537f8e,6,6,6,Twenty-one ways to be a Crappy Software Developer,Kailash Vetal,2020-03-11,"Mar 11, 2020",Booklet%205c493e354bdd4a7ab0abaeb978214561/yakobchukolenaistock-912498514.jpg,published,"kv47.in, software development",false,https://medium.com/nickonsoftware/twenty-one-ways-to-be-a-crappy-software-developer-c69e4b39c5df,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
bf390a8f-3981-4f33-99a7-3480f8dfc1d2,bf390a8f-3981-4f33-99a7-3480f8dfc1d2,7,7,7,SOLID Principles For Software Developers,Kailash Vetal,2016-02-12,"Feb 12, 2016",Booklet%205c493e354bdd4a7ab0abaeb978214561/kevin-ku-w7ZyuGYNpRQ-unsplash.jpg,published,"kailashvetal.co.in, kv47.in, software development",false,http://www.doolwind.com/blog/solid-principles-for-game-developers/,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
ae80bd04-9ce1-4d57-b99f-4bb6feaa1c9d,ae80bd04-9ce1-4d57-b99f-4bb6feaa1c9d,8,8,8,Avoiding Shader Conditionals,Kailash Vetal,2017-07-12,"Jul 12, 2017",Booklet%205c493e354bdd4a7ab0abaeb978214561/Backchannel-Lena-Soderberg-FA.jpg,published,empty,false,http://theorangeduck.com/page/avoiding-shader-conditionals,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
9bce4d71-de48-42f4-977f-da2b9007e345,9bce4d71-de48-42f4-977f-da2b9007e345,9,9,9,Unity - make your lists functional with ReorderableList,Kailash Vetal,2016-10-24,"Oct 24, 2016",Booklet%205c493e354bdd4a7ab0abaeb978214561/unity2.png,published,"kv47.in, unity3d",false,https://va.lent.in/unity-make-your-lists-functional-with-reorderablelist/,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
912ddccc-f2b0-4b06-a03c-76b816e937f5,912ddccc-f2b0-4b06-a03c-76b816e937f5,10,10,10,Sync BitBucket and GitHub,Kailash Vetal,2017-01-15,"Jan 15, 2017",https://miro.medium.com/max/800/1*gAg-EeppFgWPHxqwKQUl7A.png,published,"git, tools",false,https://aaronsaray.com/2016/sync-bitbucket-and-github,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,Blog
7f2e578d-3f2e-4bcd-a1b6-a8ef2fcd21b3,7f2e578d-3f2e-4bcd-a1b6-a8ef2fcd21b3,11,11,11,From STUPID to SOLID Code,Kailash Vetal,2016-12-07,"Dec 7, 2016",Booklet%205c493e354bdd4a7ab0abaeb978214561/clement-h-95YRwf6CNw8-unsplash.jpg,published,"kailashvetal.co.in, kv47.in, software development",false,https://williamdurand.fr/2013/07/30/from-stupid-to-solid-code/#tight-coupling,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
5c2bf1cc-356b-4caf-8456-8a05cc9ebaab,5c2bf1cc-356b-4caf-8456-8a05cc9ebaab,12,12,12,Writing Good Commit Messages A Practical Guide,Kailash Vetal,2019-11-28,"Nov 28, 2019",Booklet%205c493e354bdd4a7ab0abaeb978214561/luke-chesser-LG8ToawE8WQ-unsplash.jpg,published,"git, software development",false,https://www.freecodecamp.org/news/writing-good-commit-messages-a-practical-guide/,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
4e7a5f84-ced5-4224-922c-1a4a00c30f0a,4e7a5f84-ced5-4224-922c-1a4a00c30f0a,13,13,13,What Is Tech Debt,Kailash Vetal,2019-12-25,"Dec 25, 2019",Booklet%205c493e354bdd4a7ab0abaeb978214561/helloquence-5fNmWej4tAA-unsplash.jpg,published,"project management, software development",false,https://dzone.com/articles/what-is-tech-debt-and-how-to-explain-it-to-non-tec,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
4df2e2ac-52d0-44fa-b229-ea99040bab9c,4df2e2ac-52d0-44fa-b229-ea99040bab9c,14,14,14,Simple easing formulae,Kailash Vetal,2017-01-08,"Jan 8, 2017",Booklet%205c493e354bdd4a7ab0abaeb978214561/aRiKXA.jpg,published,"graphics programming, tools",false,"http://gizma.com/easing/ ","Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
49ad69e8-ad7f-4261-8fa2-183722322cb1,49ad69e8-ad7f-4261-8fa2-183722322cb1,15,15,15,"5 Great Programming Books Rarely Mentioned in ""Great Programming Books""",Kailash Vetal,2019-12-05,"Dec 5, 2019",Booklet%205c493e354bdd4a7ab0abaeb978214561/hero.jpg,published,empty,false,https://dev.to/erikwhiting88/5-great-programming-books-rarely-mentioned-in-great-programming-books-articles-4l5j,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
3f61e803-1716-4dca-8c3b-26836015a8c5,3f61e803-1716-4dca-8c3b-26836015a8c5,16,16,16,"If You’re Using “#if DEBUG”, You’re Doing it Wrong",Kailash Vetal,2019-09-16,"Sep 16, 2019",Booklet%205c493e354bdd4a7ab0abaeb978214561/max-nelson-taiuG8CPKAQ-unsplash.jpg,published,"c#, software development",false,https://blogs.msmvps.com/peterritchie/2011/11/24/if-you-re-using-if-debug-you-re-doing-it-wrong/,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,"evernote, postach.io"
3ea40340-67d5-46dd-9abe-796e89c47667,3ea40340-67d5-46dd-9abe-796e89c47667,17,17,17,Joots tool for analysing colour schemes.,Kailash Vetal,2016-07-25,"Jul 25, 2016",Booklet%205c493e354bdd4a7ab0abaeb978214561/ruvim-noga-pazM9TQJ2Ck-unsplash.jpg,published,"game development, kv47.in, tools",false,http://joostdevblog.blogspot.com/2015/01/a-tool-for-analysing-colour-schemes.html,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
3afaacb8-a0e5-4ae7-ac22-992ab8e5987e,3afaacb8-a0e5-4ae7-ac22-992ab8e5987e,18,18,18,Best Developer Communities to be part of in 2020,Kailash Vetal,2020-03-11,"Mar 11, 2020",https://www.freecodecamp.org/news/content/images/size/w2000/2020/03/banner-dev-community-high-res-v5.png,published,"software development, tools",false,https://www.freecodecamp.org/news/best-developer-communities-to-be-part-of-in-2020/,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,notion
16f40295-4cf4-40c7-8a3e-9ff3a1ba5114,16f40295-4cf4-40c7-8a3e-9ff3a1ba5114,19,19,19,Semantic Versioning 2.0.0 | Semantic Versioning,Kailash Vetal,2020-03-09,"Mar 9, 2020",Booklet%205c493e354bdd4a7ab0abaeb978214561/arvin-mantilla-YCIqvvIn55M-unsplash.jpg,published,"git, software development, tools",false,https://semver.org/spec/v2.0.0.html,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
119e3912-b458-40b3-ae61-9ff74d679165,119e3912-b458-40b3-ae61-9ff74d679165,20,20,20,Git for Unity Developers,Kailash Vetal,2016-01-31,"Jan 31, 2016",Booklet%205c493e354bdd4a7ab0abaeb978214561/yancy-min-842ofHC6MaI-unsplash.jpg,published,"git, software development, unity3d",false,https://www.gamasutra.com/blogs/AlistairDoulin/20150304/237814/Git_for_Unity_Developers.php,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
030bdd42-3c2e-4c83-a38d-2c700cc79882,030bdd42-3c2e-4c83-a38d-2c700cc79882,21,21,21,John Carmack on Inlined Code,Kailash Vetal,2017-02-25,"Feb 25, 2017",Booklet%205c493e354bdd4a7ab0abaeb978214561/john_530_big-pcgh.jpg,published,"game development, software development",false,http://number-none.com/blow/blog/programming/2014/09/26/carmack-on-inlined-code.html,"Dec 23, 2020 5:40 PM","Dec 23, 2020 6:40 PM",,
